fissile|(расщепляющееся); capable of undergoing nuclear fission; Synonims ['fissionable'] 
wig|(парик); hairpiece covering the head and made of real or synthetic hair; Synonims ['wigging'] 
silhouette|(силуэт); an outline of a solid object (as cast by its shadow); Synonims [] 
benefactor|(благотворитель); a person who helps people or institutions (especially with financial help); Synonims ['helper'] 
deciphering|(расшифровка); convert code into ordinary language; Synonims ['decode', 'decipher', 'trace'] 
glints|(блики); a momentary flash of light; Synonims ['glisten', 'gleam', 'glance'] 
squabbling|(ссориться); argue over petty things; Synonims ['pettifog', 'brabble', 'bicker'] 
imperceptibly|(незаметно); in an imperceptible manner or to an imperceptible degree; Synonims ['unnoticeably'] 
indispensable|(Незаменимый); not to be dispensed with; essential; Synonims ['essential'] 
outages|(отключения); the amount of something (as whiskey or oil) lost in storage or transportation; Synonims ['outage'] 
quagmire|(трясина); a soft wet area of low-lying land that sinks underfoot; Synonims ['morass', 'slack', 'quag'] 
apprehensive|(опасения); quick to understand; - Nathaniel Hawthorne; Synonims ['discerning', 'worried'] 
dimmed|(затемненный); switch (a car's headlights) from a higher to a lower beam; Synonims ['slur', 'blind', 'dip'] 
ignorant|(невежда); uneducated in general; lacking knowledge or sophistication; Synonims ['unlearned', 'unwitting', 'unknowing'] 
indulgence|(индульгенция); an inability to resist the gratification of whims and desires; Synonims ['humoring', 'pampering', 'folly'] 
entail|(влечет за собой); land received by fee tail; Synonims ['mean', 'imply', 'fee-tail'] 
envelope|(конверт); a flat (usually rectangular) container for a letter, thin package, etc.; Synonims ['gasbag'] 
stocky|(коренастый); having a short and solid form or stature; Synonims ['thick', 'thickset', 'heavyset'] 
modest|(скромно); marked by simplicity; having a humble opinion of yourself; Synonims ['pocket-size', 'minor', 'small-scale'] 
conjectures|(предположения); a hypothesis that has been formed by speculating or conjecturing (usually with little hard evidence); Synonims ['conjecture', 'surmisal', 'surmise'] 
persecuted|(преследуемый); cause to suffer; Synonims ['persecute', 'oppress'] 
chasm|(пропасть); a deep opening in the earth's surface; Synonims [] 
zeal|(усердие); a feeling of strong eagerness (usually in favor of a person or cause); Synonims ['ardor', 'readiness', 'ardour'] 
parasol|(зонт); a handheld collapsible source of shade; Synonims ['sunshade'] 
extraterrestrial|(Внеземные); a form of life assumed to exist outside the Earth or its atmosphere; Synonims ['extraterrestrial_being', 'alien'] 
intricacy|(замысловатость); marked by elaborately complex detail; Synonims ['elaborateness', 'involution', 'elaboration'] 
dish|(блюдо); a piece of dishware normally used as a container for holding or serving food; Synonims ['beauty', 'lulu', 'dish_aerial'] 
ascertain|(уточнить); establish after a calculation, investigation, experiment, survey, or study; Synonims ['assure', 'find', 'control'] 
involuntary|(принудительный); not subject to the control of the will; ; ; ; - John F.Kennedy; Synonims ['unvoluntary', 'nonvoluntary'] 
constituencies|(избирательные округа); the body of voters who elect a representative for their area; Synonims ['constituency'] 
acute|(острый); a mark (') placed above a vowel to indicate pronunciation; Synonims ['keen', 'sharp', 'ague'] 
bystanders|(случайные прохожие); a nonparticipant spectator; Synonims ['bystander'] 
begrudge|(ущемлять); be envious of; set one's heart on; Synonims ['envy', 'resent'] 
bracket|(кронштейн); a category falling within certain defined limits; Synonims ['angle_bracket', 'bracket_out', 'square_bracket'] 
carpenter|(плотник); a woodworker who makes or repairs wooden objects; Synonims [] 
scrutiny|(проверка); the act of examining something closely (as for mistakes); Synonims ['examination'] 
counsel|(адвокат); a lawyer who pleads cases in court; Synonims ['counsellor', 'counselor', 'direction'] 
inkling|(Чернила); a slight suggestion or vague understanding; Synonims ['glimmer', 'intimation', 'glimmering'] 
contemptuous|(презрительный); expressing extreme contempt; Synonims ['disdainful', 'insulting', 'scornful'] 
ludicrous|(смехотворный); broadly or extravagantly humorous; resembling farce; Synonims ['absurd', 'cockeyed', 'idiotic'] 
mien|(миен); dignified manner or conduct; Synonims ['presence', 'bearing', 'comportment'] 
commemorate|(отметить); mark by some ceremony or observation; Synonims ['mark', 'immortalise', 'remember'] 
abject|(презрение); of the most contemptible kind; Synonims ['scummy', 'low', 'scurvy'] 
chastening|(наказание); a rebuke for making a mistake; Synonims ['objurgate', 'castigate', 'correction'] 
superimposed|(наложенные); place on top of; Synonims ['lay_over', 'superimpose', 'overlying'] 
grim|(мрачный); not to be placated or appeased or moved by entreaty; Synonims ['down_in_the_mouth', 'dark', 'inexorable'] 
imminent|(Неминуемое); close in time; about to occur; Synonims ['at_hand', 'impending', 'impendent'] 
derivation|(деривация); the source or origin from which something derives (i.e. comes or issues); Synonims ['ancestry', 'etymologizing', 'filiation'] 
marrow|(костный мозг); the fatty network of connective tissue that fills the cavities of bones; Synonims ['heart_and_soul', 'meat', 'pith'] 
gauge|(манометр); a measuring instrument for measuring and indicating a quantity such as the thickness of wire or the amount of rain etc.; Synonims ['estimate', 'caliber', 'calibre'] 
sternly|(сурово); with sternness; in a severe manner; Synonims ['severely'] 
alluring|(манящий); dispose or incline or entice to; Synonims ['enticing', 'tempting', 'tempt'] 
churlish|(глумливый); rude and boorish; Synonims [] 
adversaries|(противники); someone who offers opposition; Synonims ['resister', 'adversary', 'antagonist'] 
